а	a
нихоний	nixɔnij
нишка	niʃkɐ
нищ	niʃt
нищо	niʃto
нищя	niʃtʲɐ
но	no
но	nɔ
нобелий	nobɛlij
нов	nɔf
нова	nɔvɐ
новак	novak
новина	novina
новина	nɔvinɐ
новини	novini
новост	nɔvost
новости	nɔvosti
нога	noɡa
ногав	noɡaf
ноември	noɛɱvri
нож	nɔʃ
ножак	noʒa̟k
ноже	noʒɛ
ножица	nɔʒitsɐ
ножле	noʒlɛ
ножница	nɔʒnitsɐ
ножче	noʃtʃɛ
нокът	nɔkɐt
номер	nɔmɛr
норвежки	norvɛʃki
нормален	normalɛn
норче	nɔrtʃɛ
нос	nɔs
носач	nosatʃ
носен	nɔsɛn
носител	nositɛɫ
носия	nosijɐ
носле	noslɛ
носорог	nosorɔk
носорога	nosorɔɡɐ
носорогът	nosorɔɡɐt
носороже	nosorɔʒɛ
носорози	nosorɔzi
носорозите	nosorɔzitɛ
носталгия	nostaɫɡijɐ
нося	nɔsʲɐ
носят	nɔsʲɐt
нощ	nɔʃt
нощви	nɔʃtvi
нощен	nɔʃtɛn
нощи	nɔʃti
нощите	nɔʃtitɛ
нощта	noʃta
нужда	noʒda
нужда	nuʒdɐ
нуждае	noʒdaɛ
нуждаейки	noʒdaɛjki
нуждаел	noʒdaɛɫ
нуждаела	noʒdaɛɫɐ
нуждаели	noʒdaɛli
нуждаело	noʒdaɛɫo
нуждаем	noʒdaɛm
нуждаене	noʒdaɛnɛ
нуждаенета	noʒdaɛnɛtɐ
нуждаенетата	noʒdaɛnɛtɐtɐ
нуждаенето	noʒdaɛnɛto
нуждаения	noʒdaɛnijɐ
нуждаенията	noʒdaɛnijɐtɐ
нуждаете	noʒdaɛtɛ
нуждаех	noʒdaɛx
нуждаеха	noʒdaɛxɐ
нуждаехме	noʒdaɛxmɛ
нуждаехте	noʒdaɛxtɛ
нуждаеш	noʒdaɛʃ
нуждаеше	noʒdaɛʃɛ
нуждаещ	noʒdaɛʃt
нуждаеща	noʒdaɛʃtɐ
нуждаещата	noʒdaɛʃtɐtɐ
нуждаещи	noʒdaɛʃti
нуждаещите	noʒdaɛʃtitɛ
нуждаещия	noʒdaɛʃtijɐ
нуждаещият	noʒdaɛʃtijɐt
нуждаещо	noʒdaɛʃto
нуждаещото	noʒdaɛʃtoto
нуждай	noʒdaj
нуждайте	noʒdajtɛ
нуждал	noʒdaɫ
нуждала	noʒdaɫɐ
нуждалата	noʒdaɫɐtɐ
нуждали	noʒdali
нуждалите	noʒdalitɛ
нуждалия	noʒdalijɐ
нуждалият	noʒdalijɐt
нуждало	noʒdaɫo
нуждалото	noʒdaɫoto
нуждане	noʒdanɛ
нужданета	noʒdanɛtɐ
нужданетата	noʒdanɛtɐtɐ
нуждането	noʒdanɛto
нуждания	noʒdanijɐ
нужданията	noʒdanijɐtɐ
нуждах	noʒdax
нуждаха	noʒdaxɐ
нуждахме	noʒdaxmɛ
нуждахте	noʒdaxtɛ
нуждаят	noʒdajɐt
нужен	nuʒɛn
нужник	nuʒnik
нула	nuɫɐ
нурец	nurɛts
нуря	nurʲɐ
някаква	nʲɐkɐkva
някакви	nʲɐkɐkvi
някакво	nʲɐkɐkvɔ
някакъв	nʲɐkɐkɤf
някога	nʲa̟koɡɐ
някогашен	nʲa̟koɡɐʃɛn
някои	nʲa̟kɔi
някой	nʲa̟koj
няколко	nʲa̟koɫko
някъде	nʲa̟kɐdɛ
ням	nʲa̟m
няма	nʲa̟mɐ
нямам	nʲa̟mɐm
нямат	nʲa̟mɐt
о	ɔ
оазис	oazis
обадя	obadʲɐ
обаждам	obaʒdɐm
обаче	obatʃɛ
обвинели	obvinɛli
обвинен	obvinɛn
обвинена	obvinɛnɐ
обвинената	obvinɛnɐtɐ
обвинени	obvinɛni
обвинените	obvinɛnitɛ
обвинения	obvinɛnijɐ
обвиненият	obvinɛnijɐt
обвинено	obvinɛno
обвиненото	obvinɛnoto
обвинете	obvinɛtɛ
обвинеше	obvinɛʃɛ
обвини	obvini
обвинил	obviniɫ
обвинила	obviniɫɐ
обвинилата	obviniɫɐtɐ
обвинили	obvinili
обвинилите	obvinilitɛ
обвинилия	obvinilijɐ
обвинилият	obvinilijɐt
обвинило	obviniɫo
обвинилото	obviniɫoto
обвиним	obvinim
обвините	obvinitɛ
обвиних	obvinix
обвиниха	obvinixɐ
обвинихме	obvinixmɛ
обвинихте	obvinixtɛ
обвиниш	obviniʃ
обвиня	obvinʲɤ̟
обвинява	obvinʲa̟vɐ
обвинявай	obvinʲa̟vɐj
обвинявайки	obvinʲa̟vɐjki
обвинявайте	obvinʲa̟vɐjtɛ
обвинявал	obvinʲa̟vɐɫ
обвинявала	obvinʲa̟vɐɫɐ
обвинявалата	obvinʲa̟vɐɫɐtɐ
обвинявали	obvinʲa̟vɐli
обвинявалите	obvinʲa̟vɐlitɛ
обвинявалия	obvinʲa̟vɐlijɐ
обвинявалият	obvinʲa̟vɐlijɐt
обвинявало	obvinʲa̟vɐɫo
обвинявалото	obvinʲa̟vɐɫoto
обвинявам	obvinʲa̟vɐm
обвиняваме	obvinʲa̟vɐmɛ
обвиняван	obvinʲa̟vɐn
обвинявана	obvinʲa̟vɐnɐ
обвиняваната	obvinʲa̟vɐnɐtɐ
обвиняване	obvinʲa̟vɐnɛ
обвиняванета	obvinʲa̟vɐnɛtɐ
обвиняванетата	obvinʲa̟vɐnɛtɐtɐ
обвиняването	obvinʲa̟vɐnɛto
обвинявани	obvinʲa̟vɐni
обвиняваните	obvinʲa̟vɐnitɛ
обвинявания	obvinʲa̟vɐnijɐ
обвиняваният	obvinʲa̟vɐnijɐt
обвиняванията	obvinʲa̟vɐnijɐtɐ
обвинявано	obvinʲa̟vɐno
обвиняваното	obvinʲa̟vɐnoto
обвиняват	obvinʲa̟vɐt
обвинявате	obvinʲa̟vɐtɛ
обвинявах	obvinʲa̟vɐx
обвиняваха	obvinʲa̟vɐxɐ
обвинявахме	obvinʲa̟vɐxmɛ
обвинявахте	obvinʲa̟vɐxtɛ
обвиняваш	obvinʲa̟vɐʃ
обвиняваше	obvinʲa̟vɐʃɛ
обвиняващ	obvinʲa̟vɐʃt
обвиняваща	obvinʲa̟vɐʃtɐ
обвиняващата	obvinʲa̟vɐʃtɐtɐ
обвиняващи	obvinʲa̟vɐʃti
обвиняващите	obvinʲa̟vɐʃtitɛ
обвиняващия	obvinʲa̟vɐʃtijɐ
обвиняващият	obvinʲa̟vɐʃtijɐt
обвиняващо	obvinʲa̟vɐʃto
обвиняващото	obvinʲa̟vɐʃtoto
обвинял	obvinʲa̟ɫ
обвиняла	obvinʲa̟ɫɐ
обвиняло	obvinʲa̟ɫo
обвинят	obvinʲɤ̟t
обвинях	obvinʲa̟x
обвиняха	obvinʲa̟xɐ
обвиняхме	obvinʲa̟xmɛ
обвиняхте	obvinʲa̟xtɛ
обед	ɔbɛt
обезглавели	obɛzɡɫɐvɛli
обезглавен	obɛzɡɫɐvɛn
обезглавена	obɛzɡɫɐvɛnɐ
обезглавената	obɛzɡɫɐvɛnɐtɐ
обезглавени	obɛzɡɫɐvɛni
обезглавените	obɛzɡɫɐvɛnitɛ
обезглавения	obɛzɡɫɐvɛnijɐ
обезглавеният	obɛzɡɫɐvɛnijɐt
обезглавено	obɛzɡɫɐvɛno
обезглавеното	obɛzɡɫɐvɛnoto
обезглавете	obɛzɡɫɐvɛtɛ
обезглавеше	obɛzɡɫɐvɛʃɛ
обезглави	obɛzɡɫɐvi
обезглавил	obɛzɡɫɐviɫ
обезглавила	obɛzɡɫɐviɫɐ
обезглавилата	obɛzɡɫɐviɫɐtɐ
обезглавили	obɛzɡɫɐvili
обезглавилите	obɛzɡɫɐvilitɛ
обезглавилия	obɛzɡɫɐvilijɐ
обезглавилият	obɛzɡɫɐvilijɐt
обезглавило	obɛzɡɫɐviɫo
обезглавилото	obɛzɡɫɐviɫoto
обезглавим	obɛzɡɫɐvim
обезглавите	obɛzɡɫɐvitɛ
обезглавих	obɛzɡɫɐvix
обезглавиха	obɛzɡɫɐvixɐ
обезглавихме	obɛzɡɫɐvixmɛ
обезглавихте	obɛzɡɫɐvixtɛ
обезглавиш	obɛzɡɫɐviʃ
обезглавя	obɛzɡɫɐvʲɤ̟
обезглавява	obɛzɡɫɐvʲa̟vɐ
обезглавявай	obɛzɡɫɐvʲa̟vɐj
обезглавявайки	obɛzɡɫɐvʲa̟vɐjki
обезглавявайте	obɛzɡɫɐvʲa̟vɐjtɛ
обезглавявал	obɛzɡɫɐvʲa̟vɐɫ
обезглавявала	obɛzɡɫɐvʲa̟vɐɫɐ
обезглавявалата	obɛzɡɫɐvʲa̟vɐɫɐtɐ
обезглавявали	obɛzɡɫɐvʲa̟vɐli
обезглавявалите	obɛzɡɫɐvʲa̟vɐlitɛ
обезглавявалия	obɛzɡɫɐvʲa̟vɐlijɐ
обезглавявалият	obɛzɡɫɐvʲa̟vɐlijɐt
обезглавявало	obɛzɡɫɐvʲa̟vɐɫo
обезглавявалото	obɛzɡɫɐvʲa̟vɐɫoto
обезглавявам	obɛzɡɫɐvʲa̟vɐm
обезглавяваме	obɛzɡɫɐvʲa̟vɐmɛ
обезглавяван	obɛzɡɫɐvʲa̟vɐn
обезглавявана	obɛzɡɫɐvʲa̟vɐnɐ
обезглавяваната	obɛzɡɫɐvʲa̟vɐnɐtɐ
обезглавяване	obɛzɡɫɐvʲa̟vɐnɛ
обезглавяванета	obɛzɡɫɐvʲa̟vɐnɛtɐ
обезглавяванетата	obɛzɡɫɐvʲa̟vɐnɛtɐtɐ
обезглавяването	obɛzɡɫɐvʲa̟vɐnɛto
обезглавявани	obɛzɡɫɐvʲa̟vɐni
обезглавяваните	obɛzɡɫɐvʲa̟vɐnitɛ
обезглавявания	obɛzɡɫɐvʲa̟vɐnijɐ
обезглавяваният	obɛzɡɫɐvʲa̟vɐnijɐt
обезглавяванията	obɛzɡɫɐvʲa̟vɐnijɐtɐ
обезглавявано	obɛzɡɫɐvʲa̟vɐno
обезглавяваното	obɛzɡɫɐvʲa̟vɐnoto
обезглавяват	obɛzɡɫɐvʲa̟vɐt
обезглавявате	obɛzɡɫɐvʲa̟vɐtɛ
обезглавявах	obɛzɡɫɐvʲa̟vɐx
обезглавяваха	obɛzɡɫɐvʲa̟vɐxɐ
обезглавявахме	obɛzɡɫɐvʲa̟vɐxmɛ
обезглавявахте	obɛzɡɫɐvʲa̟vɐxtɛ
обезглавяваш	obɛzɡɫɐvʲa̟vɐʃ
обезглавяваше	obɛzɡɫɐvʲa̟vɐʃɛ
обезглавяващ	obɛzɡɫɐvʲa̟vɐʃt
обезглавяваща	obɛzɡɫɐvʲa̟vɐʃtɐ
обезглавяващата	obɛzɡɫɐvʲa̟vɐʃtɐtɐ
обезглавяващи	obɛzɡɫɐvʲa̟vɐʃti
обезглавяващите	obɛzɡɫɐvʲa̟vɐʃtitɛ
обезглавяващия	obɛzɡɫɐvʲa̟vɐʃtijɐ
обезглавяващият	obɛzɡɫɐvʲa̟vɐʃtijɐt
обезглавяващо	obɛzɡɫɐvʲa̟vɐʃto
обезглавяващото	obɛzɡɫɐvʲa̟vɐʃtoto
обезглавял	obɛzɡɫɐvʲa̟ɫ
обезглавяла	obɛzɡɫɐvʲa̟ɫɐ
обезглавяло	obɛzɡɫɐvʲa̟ɫo
обезглавят	obɛzɡɫɐvʲɤ̟t
обезглавях	obɛzɡɫɐvʲa̟x
обезглавяха	obɛzɡɫɐvʲa̟xɐ
обезглавяхме	obɛzɡɫɐvʲa̟xmɛ
обезглавяхте	obɛzɡɫɐvʲa̟xtɛ
обезсмъртели	obɛssmɐrtɛli
обезсмъртен	obɛssmɐrtɛn
обезсмъртена	obɛssmɐrtɛnɐ
обезсмъртената	obɛssmɐrtɛnɐtɐ
обезсмъртени	obɛssmɐrtɛni
обезсмъртените	obɛssmɐrtɛnitɛ
обезсмъртения	obɛssmɐrtɛnijɐ
обезсмъртеният	obɛssmɐrtɛnijɐt
обезсмъртено	obɛssmɐrtɛno
обезсмъртеното	obɛssmɐrtɛnoto
обезсмъртете	obɛssmɐrtɛtɛ
обезсмъртеше	obɛssmɐrtɛʃɛ
обезсмърти	obɛssmɐrti
обезсмъртил	obɛssmɐrtiɫ
обезсмъртила	obɛssmɐrtiɫɐ
обезсмъртилата	obɛssmɐrtiɫɐtɐ
обезсмъртили	obɛssmɐrtili
обезсмъртилите	obɛssmɐrtilitɛ
обезсмъртилия	obɛssmɐrtilijɐ
обезсмъртилият	obɛssmɐrtilijɐt
обезсмъртило	obɛssmɐrtiɫo
обезсмъртилото	obɛssmɐrtiɫoto
обезсмъртим	obɛssmɐrtim
обезсмъртите	obɛssmɐrtitɛ
обезсмъртих	obɛssmɐrtix
обезсмъртиха	obɛssmɐrtixɐ
обезсмъртихме	obɛssmɐrtixmɛ
обезсмъртихте	obɛssmɐrtixtɛ
обезсмъртиш	obɛssmɐrtiʃ
обезсмъртя	obɛssmɐrtʲɤ̟
обезсмъртява	obɛssmɐrtʲa̟vɐ
обезсмъртявай	obɛssmɐrtʲa̟vɐj
обезсмъртявайки	obɛssmɐrtʲa̟vɐjki
обезсмъртявайте	obɛssmɐrtʲa̟vɐjtɛ
обезсмъртявал	obɛssmɐrtʲa̟vɐɫ
обезсмъртявала	obɛssmɐrtʲa̟vɐɫɐ
обезсмъртявалата	obɛssmɐrtʲa̟vɐɫɐtɐ
обезсмъртявали	obɛssmɐrtʲa̟vɐli
обезсмъртявалите	obɛssmɐrtʲa̟vɐlitɛ
обезсмъртявалия	obɛssmɐrtʲa̟vɐlijɐ
обезсмъртявалият	obɛssmɐrtʲa̟vɐlijɐt
обезсмъртявало	obɛssmɐrtʲa̟vɐɫo
обезсмъртявалото	obɛssmɐrtʲa̟vɐɫoto
обезсмъртявам	obɛssmɐrtʲa̟vɐm
обезсмъртяваме	obɛssmɐrtʲa̟vɐmɛ
обезсмъртяван	obɛssmɐrtʲa̟vɐn
обезсмъртявана	obɛssmɐrtʲa̟vɐnɐ
обезсмъртяваната	obɛssmɐrtʲa̟vɐnɐtɐ
обезсмъртяване	obɛssmɐrtʲa̟vɐnɛ
обезсмъртяванета	obɛssmɐrtʲa̟vɐnɛtɐ
обезсмъртяванетата	obɛssmɐrtʲa̟vɐnɛtɐtɐ
обезсмъртяването	obɛssmɐrtʲa̟vɐnɛto
обезсмъртявани	obɛssmɐrtʲa̟vɐni
обезсмъртяваните	obɛssmɐrtʲa̟vɐnitɛ
обезсмъртявания	obɛssmɐrtʲa̟vɐnijɐ
обезсмъртяваният	obɛssmɐrtʲa̟vɐnijɐt
обезсмъртяванията	obɛssmɐrtʲa̟vɐnijɐtɐ
обезсмъртявано	obɛssmɐrtʲa̟vɐno
обезсмъртяваното	obɛssmɐrtʲa̟vɐnoto
обезсмъртяват	obɛssmɐrtʲa̟vɐt
обезсмъртявате	obɛssmɐrtʲa̟vɐtɛ
обезсмъртявах	obɛssmɐrtʲa̟vɐx
обезсмъртяваха	obɛssmɐrtʲa̟vɐxɐ
обезсмъртявахме	obɛssmɐrtʲa̟vɐxmɛ
обезсмъртявахте	obɛssmɐrtʲa̟vɐxtɛ
обезсмъртяваш	obɛssmɐrtʲa̟vɐʃ
обезсмъртяваше	obɛssmɐrtʲa̟vɐʃɛ
обезсмъртяващ	obɛssmɐrtʲa̟vɐʃt
обезсмъртяваща	obɛssmɐrtʲa̟vɐʃtɐ
обезсмъртяващата	obɛssmɐrtʲa̟vɐʃtɐtɐ
обезсмъртяващи	obɛssmɐrtʲa̟vɐʃti
обезсмъртяващите	obɛssmɐrtʲa̟vɐʃtitɛ
обезсмъртяващия	obɛssmɐrtʲa̟vɐʃtijɐ
обезсмъртяващият	obɛssmɐrtʲa̟vɐʃtijɐt
обезсмъртяващо	obɛssmɐrtʲa̟vɐʃto
обезсмъртяващото	obɛssmɐrtʲa̟vɐʃtoto
обезсмъртял	obɛssmɐrtʲa̟ɫ
обезсмъртяла	obɛssmɐrtʲa̟ɫɐ
обезсмъртяло	obɛssmɐrtʲa̟ɫo
обезсмъртят	obɛssmɐrtʲɤ̟t
обезсмъртях	obɛssmɐrtʲa̟x
обезсмъртяха	obɛssmɐrtʲa̟xɐ
обезсмъртяхме	obɛssmɐrtʲa̟xmɛ
обезсмъртяхте	obɛssmɐrtʲa̟xtɛ
обект	obɛkt
обесва	obɛsvɐ
обесвай	obɛsvɐj
обесвайки	obɛsvɐjki
обесвайте	obɛsvɐjtɛ
обесвал	obɛsvɐɫ
обесвала	obɛsvɐɫɐ
обесвалата	obɛsvɐɫɐtɐ
обесвали	obɛsvɐli
обесвалите	obɛsvɐlitɛ
обесвалия	obɛsvɐlijɐ
обесвалият	obɛsvɐlijɐt
обесвало	obɛsvɐɫo
обесвалото	obɛsvɐɫoto
обесвам	obɛsvɐm
обесваме	obɛsvɐmɛ
обесван	obɛsvɐn
обесвана	obɛsvɐnɐ
обесваната	obɛsvɐnɐtɐ
обесване	obɛsvɐnɛ
обесванета	obɛsvɐnɛtɐ
обесванетата	obɛsvɐnɛtɐtɐ
обесването	obɛsvɐnɛto
обесвани	obɛsvɐni
обесваните	obɛsvɐnitɛ
обесвания	obɛsvɐnijɐ
обесваният	obɛsvɐnijɐt
обесванията	obɛsvɐnijɐtɐ
обесвано	obɛsvɐno
обесваното	obɛsvɐnoto
обесват	obɛsvɐt
обесвате	obɛsvɐtɛ
обесвах	obɛsvɐx
обесваха	obɛsvɐxɐ
обесвахме	obɛsvɐxmɛ
обесвахте	obɛsvɐxtɛ
обесваш	obɛsvɐʃ
обесваше	obɛsvɐʃɛ
обесващ	obɛsvɐʃt
обесваща	obɛsvɐʃtɐ
обесващата	obɛsvɐʃtɐtɐ
обесващи	obɛsvɐʃti
обесващите	obɛsvɐʃtitɛ
обесващия	obɛsvɐʃtijɐ
обесващият	obɛsvɐʃtijɐt
обесващо	obɛsvɐʃto
обесващото	obɛsvɐʃtoto
обесел	obɛsɛɫ
обесела	obɛsɛɫɐ
обесели	obɛsɛli
обесело	obɛsɛɫo
обесен	obɛsɛn
обесена	obɛsɛnɐ
обесената	obɛsɛnɐtɐ
обесени	obɛsɛni
обесените	obɛsɛnitɛ
обесения	obɛsɛnijɐ
обесеният	obɛsɛnijɐt
обесено	obɛsɛno
обесеното	obɛsɛnoto
обесете	obɛsɛtɛ
обесех	obɛsɛx
обесеха	obɛsɛxɐ
обесехме	obɛsɛxmɛ
обесехте	obɛsɛxtɛ
обесеше	obɛsɛʃɛ
обеси	obɛsi
обесил	obɛsiɫ
обесила	obɛsiɫɐ
обесилата	obɛsiɫɐtɐ
обесили	obɛsili
обесилите	obɛsilitɛ
обесилия	obɛsilijɐ
обесилият	obɛsilijɐt
обесило	obɛsiɫo
обесилото	obɛsiɫoto
обесим	obɛsim
обесите	obɛsitɛ
обесих	obɛsix
обесиха	obɛsixɐ
обесихме	obɛsixmɛ
обесихте	obɛsixtɛ
обесиш	obɛsiʃ
обеся	obɛsʲɐ
обесят	obɛsʲɐt
обеща	obɛʃta
обещава	obɛʃtavɐ
обещавай	obɛʃtavɐj
обещавайки	obɛʃtavɐjki
обещавайте	obɛʃtavɐjtɛ
обещавал	obɛʃtavɐɫ
обещавала	obɛʃtavɐɫɐ
обещавалата	obɛʃtavɐɫɐtɐ
обещавали	obɛʃtavɐli
обещавалите	obɛʃtavɐlitɛ
обещавалия	obɛʃtavɐlijɐ
обещавалият	obɛʃtavɐlijɐt
обещавало	obɛʃtavɐɫo
обещавалото	obɛʃtavɐɫoto
обещавам	obɛʃtavɐm
обещаваме	obɛʃtavɐmɛ
обещаван	obɛʃtavɐn
обещавана	obɛʃtavɐnɐ
обещаваната	obɛʃtavɐnɐtɐ
обещаване	obɛʃtavɐnɛ
обещаванета	obɛʃtavɐnɛtɐ
обещаванетата	obɛʃtavɐnɛtɐtɐ
обещаването	obɛʃtavɐnɛto
обещавани	obɛʃtavɐni
обещаваните	obɛʃtavɐnitɛ
обещавания	obɛʃtavɐnijɐ
обещаваният	obɛʃtavɐnijɐt
обещаванията	obɛʃtavɐnijɐtɐ
обещавано	obɛʃtavɐno
обещаваното	obɛʃtavɐnoto
обещават	obɛʃtavɐt
обещавате	obɛʃtavɐtɛ
обещавах	obɛʃtavɐx
обещаваха	obɛʃtavɐxɐ
обещавахме	obɛʃtavɐxmɛ
обещавахте	obɛʃtavɐxtɛ
обещаваш	obɛʃtavɐʃ
обещаваше	obɛʃtavɐʃɛ
обещаващ	obɛʃtavɐʃt
обещаваща	obɛʃtavɐʃtɐ
обещаващата	obɛʃtavɐʃtɐtɐ
обещаващи	obɛʃtavɐʃti
обещаващите	obɛʃtavɐʃtitɛ
обещаващия	obɛʃtavɐʃtijɐ
обещаващият	obɛʃtavɐʃtijɐt
обещаващо	obɛʃtavɐʃto
обещаващото	obɛʃtavɐʃtoto
обещае	obɛʃtaɛ
обещаел	obɛʃtaɛɫ
обещаела	obɛʃtaɛɫɐ
обещаели	obɛʃtaɛli
обещаело	obɛʃtaɛɫo
обещаем	obɛʃtaɛm
обещаете	obɛʃtaɛtɛ
обещаех	obɛʃtaɛx
обещаеха	obɛʃtaɛxɐ
обещаехме	obɛʃtaɛxmɛ
обещаехте	obɛʃtaɛxtɛ
обещаеш	obɛʃtaɛʃ
обещаеше	obɛʃtaɛʃɛ
обещай	obɛʃtaj
обещайте	obɛʃtajtɛ
обещал	obɛʃtaɫ
обещала	obɛʃtaɫɐ
обещалата	obɛʃtaɫɐtɐ
обещали	obɛʃtali
обещалите	obɛʃtalitɛ
обещалия	obɛʃtalijɐ
обещалият	obɛʃtalijɐt
обещало	obɛʃtaɫo
обещалото	obɛʃtaɫoto
обещан	obɛʃtan
обещана	obɛʃtanɐ
обещаната	obɛʃtanɐtɐ
обещани	obɛʃtani
обещание	obɛʃtaniɛ
обещаните	obɛʃtanitɛ
обещания	obɛʃtanijɐ
обещаният	obɛʃtanijɐt
обещано	obɛʃtano
обещаното	obɛʃtanoto
обещах	obɛʃtax
обещаха	obɛʃtaxɐ
обещахме	obɛʃtaxmɛ
обещахте	obɛʃtaxtɛ
обещая	obɛʃtajɐ
обещаят	obɛʃtajɐt
обзаведа	obzɐvɛdɤ
обзаведат	obzɐvɛdɤt
обзаведе	obzɐvɛdɛ
обзаведели	obzɐvɛdɛli
обзаведем	obzɐvɛdɛm
обзаведен	obzɐvɛdɛn
обзаведена	obzɐvɛdɛnɐ
обзаведената	obzɐvɛdɛnɐtɐ
обзаведени	obzɐvɛdɛni
обзаведените	obzɐvɛdɛnitɛ
обзаведения	obzɐvɛdɛnijɐ
обзаведеният	obzɐvɛdɛnijɐt
обзаведено	obzɐvɛdɛno
