-al	al
ploštice	plˈoʃtɪtsɛ
ploštička	plɔʃtɪtʃka
ploštěnce	ploʃcɛntsɛ
plst	plst
plstění	plsɛtɛɲiː
plsť	plsc
plsťák	plscaːk
plucha	plˈuxa
pluh	plˈux
pluhem	pluɦɛm
plují	plˈujiː
pluk	plˈuk
plukovník	plˈukovɲiːk
plukovníkův	plˈukovɲˌiːkuːf
plundrovat	plumdrovat
pluralitní	pluralɪtɲiː
plurál	plˈuraːl
plus	pls
plus	plˈus
pluto	luto
pluto	pluːtɛu
pluto	plˈutou
plutokracie	plutokratsɪjɛ
pluton	plˈuton
plutonium	plutonijum
plutonium	plutoːnɪjum
plyn	plen
plyn	plɪn
plyne	plenɛ
plyne	plɪnɛ
plynný	plɪniː
plynobeton	pljnobeton
plynojem	plɪnɔjɛm
plynonosný	plɪnonoːsnˈiː
plynotěsný	plɪnˈotɛsnˈiː
plynout	plɪnout
plynovod	plɪnovot
plynovodní uzávěr	plɪnovodɲiːuzaːvjɛr
plynová bombička	plɪnovaːbombɪtʃka
plynová přípojka	plɪnovaːpr̝iːpojga
plynová roura	plɪnovaːroura
plynového	plɪnovɛːɦo
plynový	plɪnoviː
plynový	plɪnovjiː
plynový kohoutek	lɪnoviːkoɦoucɛk
plynu	plɪnu
plynulý	pliːnuliː
plynárenská společnost	plɪnaːrɛnskaːspolɛtʃnˈost
plytkost	plˈɪtkˈost
plytký	plɪtkiː
plyš	pliːʃ
plyš	plɪʃ
plyšový	plɪʃoviː
plyšák	plɪʃaːk
plzeň	plazɛɲ
plzeň	plzɛɲ
plzeň	plɛzɛɲ
plzeň	przɛɲ
plzeňanek	plzɛɲanɛk
plzeňačce	plzɛɲatʃtsɛ
plzeňaček	plzɛɲatʃɛk
plzeňsko	plzɛɲsko
plzeňské	plzɛɲskɛː
plzeňský	pluzɛɲskiː
plzeňský	plzɛɲskiː
plzeňáci	plzeɲaːtsi
plzeňáček	plzɛɲatʃɛk
plzni	plzɲɪ
plzní	plzɲiː
plzný	plzniː
plzně	plznɛ
plác	plˈaːts
plácek	plaːtsɛk
plácnout	plaːtsnot
plán	plˈaːn
plán	plˈɑn
pláni	plaːnɪ
plánovací	dlaːnafatsiː
plánovanou	plaːnovanou
plánovaná	plˈaːnovˌanaː
plánované	plaːnovanɛː
plánovaný	plˈaːnovˌaniː
plánovat	plaːnˈoːvat
plánovat	plˈaːnovat
plánovati	plaːnovacɪ
plánování	plˈaːnovˌaːɲiː
plánový	plˈaːnoviː
plánu	planu
plánu	plaːnu
plánuje	plaːnujɛ
plány	plaːnɪ
pláně	plaːɲɛ
plánům	plaːnum
plápolat	plaːpolˈat
plápolá	plaːpola
plást	plast
plást	plˈaːst
plástev	plaːstɛf
plástvový	plˈaːstvoviː
plát	plˈaːt
plátek	plaːtɛk
plátek	plaːtɪk
pláti	plaːcɪ
plátky	plaːtkɪ
plátno	plˈaːtno
plátně	plaːtɲɛ
plátový	plˈaːtoviː
plátěný	plaːcɛniː
pláč	platʃ
pláč	plˈaːtʃ
pláče	plaːtʃɛ
pláčem	plaːtʃɛm
pláň	plˈaːɲ
pláňka	plˈaːɲka
pláštík	plˈaʃtiːk
pláštíkový	plˈaːʃciːkˌoviː
pláště	plaːʃcɛ
pláštěnce	plaːʃcɛntsɛ
pláštěnka	plaːʃcɛnka
pláštěnka	plaːʃtɛnka
plášť	plaːʃt
plášť	plˈaːʃc
plášť izolátoru	plaːʃcɪzolaːtoru
pláž	plˈaːʃ
pláži	plaːʒɪ
pláží	plaːʒiː
plémě	plɛːmɲɛ
plénum	plɛːnum
plést	plɛst
plíce	pliːtsɛ
plíce	plˈitsɛ
plíhal	pliːɦal
plíhalová	pliːɦalovaː
plínka	plˈɪnkˈa
plíseň	pliːsæɲ
plíseň	pliːsɛɲ
plískanice	pliːskaɲɪtsɛ
plískavice	plˈiːskavɪtsɛ
plísni	pliːsɲɪ
plísnit	pliːsɲɪt
plísní	plˈiːsɲiː
plísním	plˈiːsɲiːm
plísně	pliːsɲ
plít	pliːp˨˩
plíva	plˈiːva
plíšť	plˈiːʃc
plížení	pliːʒɛɲiː
plíživému	pliːʒɪvɛːmu
plíživý	pliːʒɪviː
plíživý	pliːʒɪvʲiː
plíživě	pliːʒɪvjɛ
plýtvat	plˈiːtvat
plýtvání	pliːdvaːniː
plýtváš	pliːdvˈaːʃ
plň	plɲ
plšík	plʃiːk
plť	plc
plůdků	plˈuːtkuː
plůtků	plˈuːtkuː
plž	plʃ
plžík	plʒiːk
pneumatické	pneumatɪtskɛː
pneumatika	plɛumatɪka
pneumatika	pneumatɪka
pneumatika	pnɛumatɨka
pneumologie	pneumologjɪɛ
pneumonie	pneumoːnɪjɛ
pnout se	pnou̯tsɛ
po	po
po	poː
po	pɔ
pobaltské národy	pobaltskɛːnaːrodɪ
pobaltský	pˈobaltskiː
pobaltských	pˈobaltskiːx
pobaltí	pˈobalciː
pobaveně	pobavɛɲiɛ
poberta	pobɛrta
pobesedovat	pobɛsodovat
poblázněný	poblaːzɲɛniː
poblít	pˈobliːt
poblíž	pˈobliːʃ
pobodaných	pˈobodˌaniːx
pobodat	oˈbodat
pobolívat	pobɔliːvat
poborská	pˈoborskaː
pobočník	pˈobotʃɲiːk
pobočníků	pˈobotʃɲˌiːkuː
pobožnost	poboʐnost
pobožný	pˈoboʒniː
pobožnůstkář	pˈoboʒnˈuːstkaːr
pobožnůstkářka	pˈoboʒnouːstkaːr̝ka
pobožnůstkářství	poboʒnuːstkaːrstviː
pobožnůstkářství	pˈoboʒnˌuːstkaːr̝stviː
pobyt	pobɪt
pobyt	pobˈɛt
pobyv	pobɪf
pobíhají	pobiːɦajiː
pobíhá	pobˈiːhaː
pobíhání	pobiːxaːɲiː
pobírají	pˈobiːrˌajiː
pobíraly	pobiːralɪ
pobýt	pˈobiːt
pobýti	pobiːcɪ
pobýval	pˈobiːval
pobývala	pˈobiːvˌala
pobělohorský	pobjɛloɦorskiː
pobřežní	pobr̝ɛʒɲiː
pobřeží	pobr̝ɛʒiː
pochcat	pˈoxtsat
pochod	pˈoxot
pochodeň	poxodɛɲ
pochodeň	pˈoxodɛɲ
pochodovat	pˈoxodˌovat
pochodový	poxodɔfiː
pochodu	pˈoxodu
pochop	pˈoxop
pochopení	poxopɛɲiː
pochopením	poxopɛɲiːm
pochopi	poxopɪ
pochopil	poxopɛl
pochopit	poxopɪt
pochopitelný	poxopɪtɛlniː
pochopitelně	poxopɪtɛlɲɛ
pochopovat	pˈoxopˌovat
pochopí	pˈoxopiː
pochovat	pˈoxovat
pochromovaný	pˈoxromˌovaniː
pochutina	poxucɪna
pochutina	pˈoːxutɪna
pochutnávám si	poxudnaːvamsɪ
pochva	pɔxva
pochva	pˈoxva
pochvalný	poxvaliː
pochvalně	poxvalɲɛ
pochvistík	poxvɪsciːk
pochválit	poxvaːlɪt
pochváliti	poxvaːlɪcɪ
pochváliv	poxvaːlɪf
pochyba	poxiba
pochyba	poxɪba
pochybnost	poxɪbnost
pochybnost	poxɪbnoust
pochybný	poxɪbniː
pochybovat	poxɪbovat
pochyby	poxɪbɪ
pocházeje	poxaːzɛjɛ
pocházejí	poxazɛjiː
pocházející	poxaːzɛjiːtsiː
pocházejících	poxlaːsɛjiːtsiːx
pocházela	puxaːzɛla
pocházet	poxaːzɛt
pochází	pˈoxaːziː
pochůzkář	pˈoxuːskaːr̝
pocit	potsɪt
pocitu	pɔtsɪtu
pocity	potsɪtɪ
pociťovat	potsɪcovat
pociťují	potsɪcujiː
pociťující	potsɪcujiːtsiː
pocta	pˈotsta
poctivice	potscɪvɪtsɛ
poctivá	patscivaː
poctu	potstu
pocuchat	pɔtsuxat
pocákat	pɔtsaːkat
pocítila	potsiːcɪla
pocítit	patsiːtɪt
pocítit	potsiːcɪt
pocítí	potsiːtˈiː
pod	pod
pod	pot
pod	pɔt
podají	pˈodajiː
podal	pˈodal
podala	pˈodala
podali	podalɪ
podat	pˈodat
podařená	podar̝ɛnaː
podařený	pɔdar̝ɛniː
podbíječka	podbiːjɛtʃka
podběh	podbjɛɦ
podběl	podbjɛl
podběrák	podbjɛraː
podcenilo	pottsɛɲɪlo
podceňovat	pottsɛɲovat
podceňujíce	pottsɛɲujiːtsɛ
podchlazený	podxlazɛnˈiː
poddajný	pˈoddajniː
poddaný	pot̪dani
poddaný	pˈoddaniː
poddůstojník	pˈodduːstˌojɲiːk
pode	podɛ
podepisovat	podɛpɪsovat
podepisovati	podɛpɪsovacɪ
podeprouc	podɛprouts
podepsal	podɛpsal
podepsala	podɛpsala
podepsaly	podɛpsalɪ
podepsaný	podɛpsaniː
podepsaným	podɛpsanˈiːm
podepsat	podɛpsat
podepsati	podɛpsacɪ
podepsán	podɛpsaːn
podepsáni	podɛpsaːɲɪ
podepíše	podɛpiːʃɛ
podepřený	podɛprzɛniː
podestýlka	pudɛstˈiːlka
podezírají	podɛziːrajiː
podezírat	podɛziːrat
podezírati	podɛziːracɪ
podezíravost	podɛziːravost
podezírá	podɛziːraː
podezírán	podɛziːraːn
podezřelou	podɛzr̝ɛlou
podezřelé	podɛzr̝ɛlɛː
podezřelého	podɛzr̝ɛlɛːɦo
podezřelí	podɛzr̝ɛliː
podezřelý	podɛzr̝ɛliː
podezřelých	podɛzr̝ɛliːx
podezření	podɛzr̝ɛɲiː
podezřívají	podɛzr̝iːvajiː
podezřívat	podɛzr̝iːvat
podezřívati	podɛzr̝iːvacɪ
podezřívavý	podɛzr̝iːvavjiː
podezříván	podɛzr̝iːvaːn
podešev	pɔdɛʃɛf
podešit	podɛʃit
podešvový	podɛʃvoviː
podfuk	pɔdfuk
podgorica	podgorɪtsa
podhoranský	pˈodɦorantskˈiː
podhoubí	podgou̯biː
podhoubí	podɦoubiː
podhrdlí	podɦrdliː
podhůra	poduɦuːra
podhůří	podɦuːr̝iː
podhůří	podɦuːʒiː
podivného	poɟivnɛːɦo
podivný	poɟɪvniː
podivně	podɪvɲɛ
podivně	poɟɪvɲɛ
podivnější	poɟɪvɲɛjʃiː
podivnějším	poɟɪvɲɛjʃiːm
podivnůstka	poɟɪvnuːstka
podjezd	pˌoːdˈijˈɛst
podkarpatský	pˈotkarpˌatskiː
podkladnice	potklatɲɪtsɛ
podkladový	pˈotskladoviː
podkladů	pˈotkladuː
podkládajíce	potklaːdajiːtsɛ
podkolenka	potkolɛnka
podkolenní	odkolɛɲiː
podkolení	podkolɛŋiː
podkopává	pˈotkopˌaːvaː
podkov	pˈotkof
podkova	pˈotkova
podkovami	potkovamɪ
podkovo	pˈotkovo
podkovou	potkovou
podkovu	pˈotkovu
podkovy	potkovɪ
podkovách	pˈotkovaːx
podkovám	pˈotkovaːm
podkově	potkovjɛ
podkožní	podkoʒɲiː
podkožní	pˈotkoʒɲiː
podkrovní	podkrovɲiː
podkroví	pˈotkroviː
podlaha	podlaɦa
podlahový	podlaɦoviː
podlahář	podlaɦaːr̝
podlaží	pˈodlaʒiː
podle	podlɛ
podlehl	podlɛɦl
podlehlo	podlɛɦlo
podlevá	podlɛvaː
podle kterých	podlɛktɛriːx
podle modelu	podlɛmodɛlu
podle mého názoru	podlɛmɛːɦonaːzoru
podlivá	podlɪvaː
podloubí	podloubiː
podlouhlý	podlouɦliː
podložili	podloʒɪlɪ
podložit	podloʒɪt
podložka	porloʃka
podložka	pˈodloʃka
podloží	pˈodloʒiː
podluhy	podluxɪ
podléhá	podlɛːɦaː
podléška	podlɛːʃka
podlý	podli
podlý	pˈodliː
podmalba	pɔdmalba
podmalovat	pˈodmalˈovat
podmanit	podmanit
podmanivý	podmanɪvíː
podmanivý	pudmanɪvˈiː
podmazat	podnazad
podmnožina	podmnoʒɪna
podmořskou	podmor̝skou
podmořský	pˈodmor̝skiː
podmáslí	pˈodmaːsliː
podmáčený	podmaːtʃɛniː
podmínek	podmiːnɛk
podmínečné	podmiːnɛtʃnɛː
podmínečně	podmˈiːnɛtʃɲɛ
podmínka	podmiːnka
podmínkami	podmiːnkamɪ
podmínkou	podmiːnkou
podmínkový	podmˈiːnkovjiː
podmínkově	podmiːnkɔvjɛ
podmínku	podmiːnku
podmínkách	podmiːnkaːx
podmínkách	podmˈiːnkaːx
podmíněný	podmiːɲɛniː
podmítat	podmˈiːtat
podmět	podmɲɛt
podmět	pˈudmɲɛt
podnebný	podnɛbniː
podnebí	podnɛbiː
podnes	podnɛs
podnicích	podɲɪtsiːx
podnik	podɲɪk
podnikat	pˌodnˈikat
podnikatel	podɲikatɛl
podnikatel	podɲɪkatɛl
podnikatele	podɲikatɛlɛ
podnikateli	podɪɲkatɛlɪ
podnikatelský	podɲɪkatɛlskiː
podnikatelé	podɲɪkatɛlɛː
podnikem	podɲɪkɛm
podniknou	podɲɪknou
podnikový	podɲɪkoviː
podniku	podɲɪku
podniky	podɲɪkɪ
podnikání	podɲikaːniː
podnikání	podɲɪkaːɲiː
podniků	podɲɪkuː
podnikům	podɲɪkuːm
podnos	pˈodnos
podnož	pˈodnˈoʃ
podnožník	pˈodnoʒɲiːk
podnájem	podnajɛm
podnájemkyně	podnaːjɛmkɪɲɛ
podnět	podɲɛt
podoba	podˈoba
podoba	pˈodoba
podobenství	podobɛnstviː
podobiznář	podobɪznaːr̝
podobni	podobɲɪ
podobnost	podobnˈost
podobnost	pˈodobnost
podobná situace	podobnasɪtuatsɛ
podobné	podobnɛː
podobné třídy	podobnɛːtr̝iːdɪ
podobný	pˈodobniː
podobných	poːdobniːx
podobných	pˈodobniːx
podobně	podobɲɛ
podobu	pˈodobu
podoby	podobɪ
podobě	podobjɛ
podobě	podɔbjɛ
podolí	podoljː
podomácku	pˈodomˌaːtsku
podotkl	podotkl
podotkl	poːdˈotkl
podotkla	pˈodotkla
podotýká	pˈodotˌiːkaː
podoustev	podoustɛf
podpalubí	pˈotpalˌubiː
podpantoflák	pˈotpantˌoflaːk
podpažní	podpˈaʒɲiː
podpažní	pˈotpaʒɲiː
podpažník	pˈotpaʒɲiːk
podpaží	pˈotpaʒiː
podpis	potpis
podpis	potpɪs
podpisovat	potpɪsovat
podpisový	potpɪsoviː
podpisy	potpɪsɪ
podpisů	potpɪsuː
podplacení	podplatsɛɲiː
podplukovník	pˈotplukˌovɲiːk
podplácet	pˈodplaːtsɛt
podpora	pˈotpora
podporovali	odporovalɪ
podporovat	pˈotporˌovat
podporovati	potporovacɪ
podporu	pˈotporu
podporuje	potporujɛ
podporuje	potpɔrujɛ
podporují	pˈotporˌujiː
podporučík	pˈotporˌutʃiːk
podpory	potporɪ
podpoře	potpor̝ɛ
podpořili	potpor̝ɪlɪ
podpořit	potpor̝ɪt
podpořiti	potpor̝ɪcɪ
podprsenka	podprɛsɛnka
podprsenka	potprsɛnka
podpěra	otpjɛra
podpěra	potpjɛra
podpůrná	podpˈuːrnaː
podpůrní	podpurniː
podpůrný	podpurniː
podraz	pudras
podraz	pˈodras
podražení	podraʒɛɲiː
podrbat	pɔdrbat
podrobivše	podrobɪfʃɛ
podrobnost	podrˈobnɔst
podrobnosti	odropnoscɪ
podrobnosti	podrobnoscɪ
podrobný	pˈodrobniː
podrobně	podrobɲɛ
podrobnější	podrobɲɛjʃiː
podrobujíce	podrobujiːtsɛ
podroušený	podrouʃanˈiː
podroušený	podrouʃɛniː
podroužek	pˈotrouʒɛ
podruhé	podruɦɛː
područka	podrˈutʃka
podružný	podruʒni
podružný	pˈodruʒniː
podrápaný	pˈodraːpaniː
podrážce	podraːʃtsɛ
podráždit	pˈodraːʒdɪt
podrážděný	podraːʒɟɛniː
podrážka	podrˈaːʃka
podrážka	pɔdraːʃka
podrážka	pˈodraːʃka
podrážíte	odraːʒiːtɛ
podrážíš	odraːʒiːʃ
podržtaška	podrʃtaʃka
podsklepený	potklɛpɛniː
podsklepený	pˈotsklɛpɛɲiː
podskupina	podsgupɲa
podstata	pˈotstata
podstatnou	potstatnou
podstatná	pˈotstatnaː
podstatný	pˈotstatniː
podstatně	podstɑtɲjɛ
podstatně	potstatɲɛ
podstatu	pˈotstatu
podstava	pˈotstava
podstavec	pɔdstavɛts
podstoupila	potstoupɪla
podstoupila	pˈodstoupɪla
podstoupit	potstoupɪt
podstoupiti	potstoupɪcɪ
podstřeší	patskr̝ɛʃiː
podsvinče	potsvɪɲtʃɛ
podsvinčátko	potsvɪɲtʃaːtko
podsvětí	potsvjɛciː
podtext	pɔttɛkst
podtitul	pottɪtul
podtitulem	pottɪtulɛm
podtržítko	podtrʒiːtkˈo
poduška	pˈoduʃka
podvedeni	podvɛdɛɲiː
podvedli	podvɛdlɪ
podvečer	podvɛtʃɛr
podvihov	podvɪxof
podvlíkačky	podvliːkatʃkɪ
podvod	pɔdvot
podvod	pˈodvot
podvodnice	podvɔdɲɪtsɛ
podvodné	podvodnɛ
podvodní	podvodɲiː
podvodní	pˈodvodɲiː
podvodník	podvodɲiːk
podvodník	podvotniːt
podvodu	pˈodvodu
podvojná	podvotnaː
podvojné	podvˈojnɛː
podvojný	pˈodvojniː
podvozek	pˈodvɔzɛk
podvozek letadla	pˈodvozɛklɛtadlˈa
podvraťák	pˈodvracaːk
podváděla	podvaːɟɛla
podváděli	podvaːɟɛlɪ
podvádět	podvaːɟɛt
podváha	podvaːɦa
podvést	podvɛːst
podvýživa	podviːʒɪva
podvýživa	podvˈiːʒva
podvědomí	podfjɛdomaː
podvěsný	odvjɛsniː
podzemka	podzɛmka
podzemka	pɔdzɛmka
podzemnicový olej	podzɛmɲɪtsoviːolɛj
podzemní	podzɛmɲiː
podzemními	podzɛmɲiːmɪ
podzemí	podzɛmiː
podzim	podzɪm
podzimní	podzɛmɲiː
podzimní	podzɪmɲiː
podzimního	podzɪmɲiːɦo
podzvukový	podzvukoviː
pod hranicí chudoby	podɦraɲɛtsiːxudobɪ
pod nominální hodnotu	podnomɪnaːlniːɦodnotu
pod širým nebem	potʃɪriːmnɛbɛm
podá	pˈodaː
podána	pˈodaːna
podáno	pˈodaːno
podání	pˈodaːɲiː
podáních	pˈodaːɲiːx
podáním	pˈodaːɲiːm
podáními	podaːɲiːmɪ
podávaje	podaːvajɛ
podávat	poːdaːvat
podávat	pˈodaːvat
podél	podɛːl
podíl	pˈoɟiːl
podílný	podjˈiːlniː
podílový	poɟiːloviː
podíval	podˈiːvaːl
podívala	podɲivala
podívali	pˈodˈiːvalɪ
podívaná	podˈiːvanaː
podívejte	poɟivɛjtɛ
podívám	podĩːvaːm
podívání	podˈiːvaːniː
podčeší	pottʃɛʃiː
podčárník	pˈottʃaːrɲiːk
poděbradský	poɟɛbratskiː
poděbrady	poɟɛbradɪ
poděbradům	poɟɛbraduːm
poděkoval	poɟɛkoval
poděkovalo	poɟɛkovalo
poděkovat	poɟɛkovat
poděkovat	puɟɛkovat
poděkovati	poɟɛkovacɪ
poděl	podjɛl
podělané	poɟɛlanɛː
podělat	poɟɛlat
podělkovat	poɟɛlkovat
poděrák	poɟɛraːk
poděšeni	poɟɛʃɛɲɪ
poděšení	podɛʃɛɲiː
poděšení	poɟɛʃɛɲiː
podřadné	podr̝adnɛː
podřadný	pˈodr̝adniː
podřež	podr̝ɛʃ
podřipsko	podr̝ɪpsko
podřízeného	podr̝iːzɛɲɛːɦo
podřízený	podr̝iːzɛniː
podříznout	podr̝iːznout
podšálek	pˈotʃaːlɛk
podšívat	odʃiːvat
podůlší	poduːʃiː
poeta	poɛta
poetické	poɛtɪtskɛː
poetický	poɛtɪtskiː
poetka	poɛtka
poezie	poɛzjɛ
poezie	poɛzɪjɛ
poezie	poːɛzjɛ
pofňukávat	pˈofɲukˌaːvat
pohanka	poɦanka
pohankový	poɦankoviː
pohanský	poɦanskiː
pohanět	poɦaɲɛt
pohazuje	poɦazujɛ
pohekávat	poɦɛkaːvat
pohjola	poɦjola
pohladí	poɦlatɪ
pohlavnost	poɦlavnost
pohlavní	poɦlavɲiː
pohlavních	poɦlavɲˈiːx
pohlavního	poɦlavɲiːɦo
pohlaví	poɦlaviː
pohlaví	poɦlavíː
pohlazení	poɦlazɛɲiː
pohlcuje	poɦltsojɛ
pohled	pou̯ɦlɛt
pohled	poɦlɛt
pohlednice	poɦlɛdɲitsɛ
pohlednice	poɦlɛdɲɪtsɛ
pohledný	poɦlɛdniː
pohledy	poglɛdɪ
pohledávce	poɦlɛdaːftsɛ
pohledávek	poɦlɛdaːvɛk
pohledávka	poglɛdaːvka
pohledávka	poɦlɛdaːfka
pohledávky	poɦlɛdaːfkɪ
pohledáváš	poɦladaːvaːʃ
pohlodko	pˈoɦlodkˈo
pohlédnout	poɦlɛːdnout
pohlédnouti	poɦlɛːdnoucɪ
pohlédnuvši	poɦlɛːdnufʃɪ
pohlížet	poɦliːʒat
pohmožděnou	poɦmoʒɟɛnou
pohnat	poɦnat
pohnojení	poɦnojɛɲiː
pohnout	poɦnout
pohnouti	poɦnoucɪ
pohnul	poɣnul
pohnutka	poɦnutka
pohnutý	poɦnutiːm
pohodlnou	poɦodlnou
pohodlná	poɦodlnaː
pohodlný	poɦodlniː
pohodlí	poɦodliː
pohodný	poɦodniː
pohorka	poɦorka
pohoršení	poɦorʃɛɲiː
pohostinství	poɦosciːnstviː
pohostný	poɦostniː
pohotovostní	poɦotovustɲiː
pohotový	poɦotovjiː
pohovka	poɦofka
pohovkách	poɦofkaːx
pohořelec	poɦorɛlɛts
pohoří	poɦoriː
pohoštění	poɦoʃcɛɲiː
pohrabat	poɦramat
pohrabáček	poɦrabaːtʃɛk
pohraniční	poɦraɲɪtʃɲiː
pohraničních	poɦraɲɪtʃɲiːx
pohraničí	poɦraɲɛtʃiː
pohraničí	poɦraɲɪtʃiː
pohrdaje	poɦrdajɛ
pohrdat	poɦrdat
pohrdavý	poɦrdavˈiː
pohrdlivost	poɦrdlivost
pohrobek	poɦrobɛk
pohrom	poɦrom
pohroma	poɦroma
pohroma	pˈoɦroma
pohromadě	poɦromaɟɛ
pohroužení	poɦrouʒɛɲiː
pohroužený	poɦrouʒɛniː
pohrozil	poɦrozɪl
pohrozila	poɦrozɪla
pohrozit	pohrozɪt
pohrozit	poɦrozɪt
pohrudnice	poɦrudnʲitsɛ
pohrávat	pohraːvat
pohrůžka	poɦruːʃka
pohyb	poɦiːb
pohyb	poɦɪp
pohyblivé písky	poɦɪblɪvɛːpˈiːskɪ
pohyblivý	poɦɪblɪviː
pohyblivým	poɦɪblɪviːm
pohybovat	pohɪbovat
pohybovat	poɦɪbovat
pohybový	poɦɪboviː
pohybu	poɦɪbu
pohádka	poɦaːtka
pohádka	pɔɦaːtka
pohádkový	poɦaːtkoviː
pohádky	pˈoɦaːtkɪ
pohádkách	poɦaːtkaːx
poháním	pˈoɦaːɲiːm
poháníš	poɦaːnɪʃ
poháněje	poɦaːɲɛjɛ
poháněný	poɦaːnɛniː
pohánět	poɦaːɲɛt
pohár	poɦaːr
pohár	pɔɦaːr
pohárovými	poɦaːroviːmɪ
poháry	pɔɦaːrɪ
pohřby	poɦr̝bɪ
pohřbít	poɦr̝biːt
pohřbíti	poɦr̝biːcɪ
pohřbívat	poɦr̝biːvat
pohřeb	poɦr̝ɛp
pohřebiště	poɦr̝ɛbɪʃcɛ
pohřebné	poɦr̝ɛbnɛː
pohřební	poɦr̝ɛbɲiː
pohřební	pˈoɦrɛbɲiː
pohřešovaného	poɦr̝ɛʃovanɛːɦo
pohřešovaný	poɦr̝ɛʃovaniː
pohřešovaných	poɦr̝ɛʃovaniːx
pohříchu	poɦr̝iːxu
pohůnek	poɦuːnɛk
point	poɛnt
pointa	pojntɐ
pointa	pojnt̪a
pointa	poɛnta
pojančený	pojantʃɛniː
pojatý	pˈojatiː
pojav	pˈojaf
pojede	pojɛdɛ
pojedeme	pojɛdemɛ
pojednejte	pojɛdnɛjtɛ
pojednou	pojɛdnou
pojednání	pojɛdnaːniː
pojedou	pojɛdou
pojedu	pojɛdu
pojem	pojɛm
pojem	pɔjɛm
pojetí	pojɛciː
pojislovce	pojɪsloftsɛ
pojistka	pojɪstka
pojivo	pojivo
pojivo	pojɪvo
pojivový	pojɪvoviː
pojištění	pojɪʃcɛɲiː
pojištění	pojɪʃtɛɲiː
pojišťovna	pojɪʃcovna
pojišťovnami	pojɪʃcovnamɪ
pojišťovny	pojɪʃcovnɪ
pojme	pojmɛ
pojmem	pojmɛm
pojmenovat	pojmɛnavat
pojmenovat	pojmɛnovat
pojmenovávací	pojmɛnovaːvatsiː
pojmenovávat	pojmɛnovaːvat
pojmeš	poˈimɛʃ
pojí	pojiː
pojídat	pojidat
pojít	pˈojiːt
pojď	poc
pojď	pˈojc
pojďme	pocmɛ
pojďme	pojcmɛ
pojďte	poctɛ
pojďte	pojctɛ
pokavad	pˈokavat
pokavád	pokavat
pokaz	pˈokas
pokazil se	pokazɪlsɛ
pokazit	pokazɛt
pokaždé	pokaʒdɛː
pokecat	pokɛtsa
poker	pokr
poker	pokɛ
pokerový	pokɛroviː
poklad	pˈoklat
pokladen	pokladɛn
pokladna	pˈokladna
pokladnami	pokladnamɪ
pokladnice	pokladɲitsɛ
pokladnička	pokladɲiːtʃka
pokladno	pˈokladno
pokladnou	pokladnou
pokladnu	pˈokladnu
pokladny	pokladnɪ
pokladnách	pˈokladnaːx
pokladnám	pˈokladnaːm
pokladní	pˈokladɲiː
pokladník	pokladɲiːk
pokladník	pˈokladɲiːk
pokladníkem	pokladɲiːkɛm
pokladně	pokladɲɛ
poklady	pokladɪ
poklekna	poklɛkna
pokleknout	poklɛknout
pokles	poklɛs
pokleslý	oklɛsliː
poklesnout	poklɛsnout
poklesnouti	poklɛsnoucɪ
pokles cen	poklɛztsɛn
poklesávat	poklɛsɑːvat
poklice	poklɪtsɛ
poklice	poːklɪtsɛ
poklidný	poklɪdniː
poklička	poklɪtʃka
poklus	pˈoklus
pokládaje	poklaːdajɛ
pokládat	pˈoklaːdat
pokoj	pˈokoj
pokoje	pokoja
pokoji	pokojɛ
pokojov	pˈokojof
pokojovský	pˈokojˌofskiː
pokojový	pˈokojˌoviː
pokojská	pˈokojskaː
pokoj (nemocniční)	pokojnɛmotsɲɪtʃɲiː
pokojík	pokojik
pokojíček	pokojɪtʃɛk
pokolení	pokolɛɲiː
pokora	pokoram
pokora	pˈokora
pokorný	pˈokorniː
pokorně	pokorɲɛ
pokorně	pˈokˈorɲi
pokosit	pokosit
pokousaného	pokousanɛːɦo
pokoutník	pokoucniː
pokoušeli se	pokouʃɪlɪsɛ
pokoušely se	pokouʃɛlɪsɛ
pokoušet	pokouʃɛt
pokoušeti	pokouʃɛcɪ
pokoušet se	pokouʃɛtsɛ
pokouším se	pokouʃiːmsɛ
pokouší se vyřešit	pokojʃiːsɛvɪr̝ɛʃɪt
pokouší se zobrazit	pokoʃiːsɛzobrazɪt
pokouší se řešit	pokoʃiːsɛr̝ɛʃɪt
pokoušíš se	pokouʃiːsɛ
pokovovat	poko˥˩ːʋovat
pokoš	pˈokoʃ
pokožka	pˈokoʃka
pokraj	pˈokraj
pokračoval	pˈokratʃˌoval
pokračovali	pokratʃovalɪ
pokračovaly	pokratʃovalɪ
pokračovat	pokratʃovot
pokračovat	pˈokratʃˌovat
pokračovatel	pokratʃovatɛl
pokračuje	pokratʃujɛ
pokračujeme	pɔkratʃujɛmɛ
pokračuji	pokratʃuɪ
pokračují	pˈokratʃˌujiː
pokračující	pokratʃujiːtsi
pokrevenec	pokrɛvɛnɛts
pokrevní	pokrɛvɲiː
pokrm	pokrm
pokrok	pukrok
pokrok	pˈokrok
pokroku	pˈokroku
pokročilost	pokrotʃɪlɔst
pokročilá	pokrotʃilaː
pokrutiny	pokrucɪnɪ
pokryje	pokrɪjɛ
pokrytec	pokrɪtɛts
pokrytectví	pokrɪtɛtstviː
pokrytá	pokrɪtaː
pokryčka	pokrɪtʃka
pokrýt	pokr̝iːt
pokrývač	pokriːvatɕ
