ༀ	om 
མཐའ་བྲལ་ལོངས་སྤྱོད་རྫོགས་སྐུར་བྱིན་གྱིས་རློབས	tadral longchö dzok kur jingyi lob
མཐའ་བྲལ་སེམས་ཀྱི་ཆོས་ཉིད་རྟོགས་པར་ཤོག	tadral sem kyi chönyi tokpar shok
མཐའ་མ	mtʰaɣma
མཐའ་མ	tʰa˥˥ma˥˥
མཐའ་མའི་སྐྱོན་ཀུན་རབ་འགགས་དབུ་མའི་ཡོན་ཏན་ཀུན་ཐོབ་སེམས་ཅན་ཀུན་གྱི་དོན་བྱེད་ཤོག	tamé kyön kün rab gak umé yönten kün tob semchen kün gyi dönjé shok
མཐའ་མི་དབུས་སུ་འོང་བའི་བསུན་མ་ཟློག༔	tami ü su ongwé sünma dok
མཐའ་མེད་འཁོར་བའི་རྒྱ་མཚོར་བྱིངས་པའི་མ་གྱུར་གྱི་འགྲོ་བ	tamé khorwé gyatsor jingpé magyur gyi drowa
མཐའ་མེད་འཁོར་བར་གྲངས་མེད་འཁྱམས་གྱུར་ཅིང	tamé khorwar drangmé khyam gyur ching
མཐའ་མེད་འགྲོ་བའི་གསོས་སུ་སྤེལ་བའི་སླད	tamé drowé sö su pelwé lé
མཐའ་འཁོབ་གདོང་དམར་བོད་ཡུལ་སྲིན་པོའི་གླིང་༔	takhob dong mar böyul sinpö ling
མཐའ་ཡས་ཁམས་གསུམ་སྐྱེ་འགྲོ་འཁོར་མཚོ་བསྒྲལ	tayé kham sum kyendro khor tso dral
མཐའ་ཡས་དཀྱིལ་འཁོར་ཀུན་གྱི་གཙོ་མོར་གྱུར	tayé kyilkhor kün gyi tsomor gyur
མཐའ་ཡས་མཁྱེན་པའི་དཔལ་མངའ་བསོད་ནམས་རྩེ	tayé khyenpé pal nga sönam tsé
མཐའ་ཡས་ཞིང་ན་གསུང་གཅིག་གིས་ཁྱབ་པ	tayé zhing na sung chik gi khyabpa
མཐའ་ཡས་འགྲོ་ཀུན་ཐུགས་བརྩེས་ཡོངས་སུ་བཟུང	tayé dro kün tuk tsé yongsu zung
མཐའ་ཡས་འགྲོ་ཀུན་ཐུགས་བརྩེས་ཡོངས་སུ་བཟུང༌	tayé dro kün tuk tsé yongsu zung
མཐའ་ཡས་འགྲོ་ཀུན་བྱང་ཆུབ་ལམ་ལ་འཇུག	tayé dro kün changchub lam la juk
མཐའ་ཡས་འགྲོ་བ་ཀུན་ཀྱང་རྒྱལ་ཀུན་གྱི	tayé drowa kün kyang gyal kün gyi
མཐའ་ཡས་འགྲོ་བ་ཀུན་ལ་དུས་རྟག་ཏུ	tayé drowa kün la dü taktu
མཐའ་ཡས་འགྲོ་བ་ཀུན་ལ་ཕན་བྱེད་ཅིང	tayé drowa kün la pen jé ching
མཐའ་ཡས་འགྲོ་བ་ངེས་པར་སྒྲོལ་སླད་དུ	tayé drowa ngepar drol ledu
མཐའ་ཡས་འགྲོ་བ་བསྒྲལ་བར་སེམས་བསྐྱེད་དོ	tayé drowa dralwar semkyé do
མཐའ་ཡས་འགྲོ་བ་བསྒྲོལ་བར་དམ་བཅའོ	tayé drowa drolwar damcha’o
མཐའ་ཡས་འགྲོ་བ་འདྲེན་པ་བདག་གྱུར་ཅིག	tayé drowa drenpa dak gyur chik
མཐའ་ཡས་འགྲོ་བའི་ཉེར་འཚོར་བདག་འགྱུར་ཤོག༔	tayé drowé nyer tsor dak gyur shok
མཐའ་ཡས་འགྲོ་བའི་དོན་ཆེན་བྱེད་པར་ཤོག	tayé drowé dön chen jepar shok
མཐའ་ཡས་འགྲོ་བའི་དོན་རྣམས་སྒྲུབ་པ་ལ	tayé drowé dön nam drubpa la
མཐའ་ཡས་འགྲོ་བའི་བསླུ་མེད་སྐྱབས་ཀྱི་མཆོག	tayé drowé lumé kyab kyi chok
མཐའ་ཡས་འགྲོ་བའི་ཚོགས་བསགས་སྒྲིབ་སྦྱངས་ཕྱིར	tayé drowé tsok sak drib jang chir
མཐའ་ཡས་འགྲོ་བའི་རེ་བ་སྐོངས་གྱུར་ཅིག	tayé drowé rewa kong gyur chik
མཐའ་ཡས་འགྲོ་བའི་རེ་སྐོང་དམ་ཆོས་ཆར	tayé drowé rekong damchö char
མཐའ་ཡས་འགྲོ་ལ་ཕན་བདེའི་མཆོག་སྩོལ་ཞིང	tayé dro la pendé chok tsol zhing
མཐའ་ཡས་འོད་མཆོག་མཐའ་ཡས་མྱ་ངན་མེད༔	tayé ö chok tayé nya ngen mé
མཐའ་ཡས་འོད་ཟེར་འཕྲོ་བའི་ཀློང་༔	tayé özer trowé long
མཐའ་ཡས་རྒྱལ་བའི་བདེ་སྟོང་ཟློས་གར་ནི	tayé gyalwé detong dögar ni
མཐའ་ཡས་རྣམ་པར་རྒྱལ་བ་སྤྱོད་མ	tayé nampar gyalwa chö ma
མཐའ་ཡས་རྣམ་རྒྱལ་མ་ལ་གསོལ་བ་འདེབས	tayé namgyalma la solwa deb
མཐའ་ཡས་སེམས་ཅན་དུག་གསུམ་ཞི་མཛད་ཅིང	tayé semchen duk sum zhidzé ching
མཐའ་ཡས་སེམས་ཅན་མ་ལུས་ཀུན༔	tayé semchen malü kün
མཐའ་ཡས་སེམས་ཅན་ཚོགས་རྣམས་བསྒྲལ་བའི་ཕྱིར	tayé semchen tsok nam dralwé chir
མཐའ་ཡས་སེམས་ཅན་ཚོགས་རྣམས་བསྒྲལ་བའི་ཕྱིར	tayé semchen tsoknam dralwé chir
མཐའ་ཡས་སེམས་ཅན་ཚོགས་ལ་ཕན་དགོངས་པའི	tayé semchen tsok la pen gongpé
མཐའ་ཡས་སྒྱུ་འཕྲུལ་དྲྭ་བའི་རོལ་གར་ཅན	tayé gyutrul drawé rolgarchen
མཐའ་ཡས་སྤྲུལ་སྐུ་འགྲོ་བའི་དཔལ་དུ་ཤར	tayé tulku drowé pal du shar
མཐའ་ཡི་དམག་དཔུང་ནད་ཚོན་མུ་གེ་སོགས	ta yi makpung né tsön mugé sok
མཐའ་རུ་སངས་རྒྱས་ཐོབ་པར་འགྱུར༔	ta ru sangye tobpar gyur
མཐའ་ལས་འགྲོ་བ་འདྲེན་ལ་མགོན་ཁྱེད་དང	ta lé drowa dren la gön khyé dang
མཐའ་སྐོར་པཎ་གྲུབ་རིག་འཛིན་དཔག་མེད་པ	takor pendrub rigdzin pakmépa
མཐའ་སྐོར་མཁའ་འགྲོ་ཆོས་སྐྱོང་དང་༔	takor khandro chökyong dang
མཐའ་སྐོར་ཡེ་ཤེས་ཆོས་སྐྱོང་ཚོགས་རྣམས་ཏེ	takor yeshe chökyong tsok nam té
མཐར་གྱིས་བྱང་ཆུབ་ལ་འགོད་ཤོག	tar gyi changchub la gö shok
མཐར་གྱིས་མངོན་པར་རྫོགས་སངས་མ་རྒྱས་ཀྱི་བར་གྱི	tar gyi ngönpar dzok sang ma gyé kyi bar gyi
མཐར་གྱིས་རྡོ་རྗེ་འཛིན་རྒྱལ་འགྱུར་ཞེས་གསུངས	tar gyi dorjé dzin gyal gyur zhé sung
མཐར་ཐར་པའི་སྐམ་སར་འདི་ཡིས་ཕྱིན	tar tarpé kam sar di yi chin
མཐར་ཐུག་ཀུན་བཟང་ཞིང་ལ་སྤྱོད་པར་ཤོག	tartuk kunzang zhing la chöpar shok
མཐར་ཐུག་གཉིས་མེད་ཡེ་ཤེས་སྐུ་འཐོབ་ཤོག	tartuk nyimé yéshe ku tob shok
མཐར་ཐུག་གཏན་སྲིད་ཟིན་པར་བྱིན་གྱིས་རློབས	tar tuk ten si zinpar chin gyi lop
མཐར་ཐུག་གདོད་མ་ཆོས་སྐུའི་རྒྱལ་ཐབས་ལ་འགོད་པས	tartuk döma chökü gyaltab la göpé
མཐར་ཐུག་གདོད་མའི་གཞི་ལ་སྤྱོད་པར་ཤོག	tartuk dömé zhi la chöpar shok
མཐར་ཐུག་གི་འབྲས་བུ་ངོ་བོ་ཉིད་སྐུའི་སྐལ་བ་རྒྱུད་ལ་བཞག་གོ	tartuk gi drebu ngowo nyikü kalwa gyü la zhak go
མཐར་ཐུག་གྲུབ་མཐའ་སྙོག་པར་བྱིན་གྱིས་རློབས	tartuk drubta nyokpar jingyi lob
མཐར་ཐུག་ངེས་འབྱུང་བྱང་སེམས་གཏིང་ནས་འབྱོངས	tartuk ngejung jangsem tingné jong
མཐར་ཐུག་ཅིར་སྣང་ལྷ་ཡི་ཕྱག་རྒྱར་དག	tartuk chir nang lha yi chakgyar dak
མཐར་ཐུག་དཀར་ནག་ལས་ཀྱིས་འབྲེལ་ཚད་ཀུན	tartuk karnak lé kyi dreltsé kün
མཐར་ཐུག་པདྨ་འོད་ཀྱི་གྲོང་ཁྱེར་དུ	tartuk pema ö kyi drongkhyer du
མཐར་ཐུག་པདྨ་འོད་དུ་གྲོལ་བར་ཤོག	tartuk pema ö du drolwar shok
མཐར་ཐུག་པདྨ་འོད་དུ་སྐྱེ་བར་ཤོག༔	tartuk pema ö du kyewar shok
མཐར་ཐུག་ཕུང་ཁམས་སྙིགས་མ་དབྱིངས་སུ་དག	tartuk pung kham nyikma ying su dak
མཐར་ཐུག་ཕྱག་རྒྱ་ཆེན་པོའི་སར་སྦྱོར་ལ	tartuk chakgya chenpö sar jor la
མཐར་ཐུག་བདེ་ཆེན་ཞིང་ལ་སྤྱོད་པར་ཤོག	tartuk dechen zhing la chöpar shok
མཐར་ཐུག་བདེ་ཆེན་རྡོ་རྗེ་སེམས་འགྲུབ་ཤོག	tartuk dechen dorjé sem drup shok
མཐར་ཐུག་འཕགས་མའི་དགོངས་སྤྱོད་མངོན་གྱུར་ཤོག	tartuk pakmé gong chö ngöngyur shok
མཐར་ཐུག་འབྲས་བུ་ཆོས་སྐུར་ལེགས་སྦྱོར་བའི	tartuk drebu chökur lek jorwé
མཐར་ཐུག་འོད་གསལ་ཆོས་སྐུའི་ཕོ་བྲང་དུ	tartuk ösal chökü podrang du
མཐར་ཐུག་འོད་ལྔའི་ཞིང་ལ་སྤྱོད་པར་ཤོག	tartuk ö ngé zhing la chöpar shok
མཐར་ཐུག་ཡབ་ཡུམ་ཐབས་ཤེས་མཆེད་ལྕམ་སྲས༔	tartuk yabyum tabshé checham sé
མཐར་ཐུག་ཡེ་ཤེས་ལྔ་ལ་སྤྱོད་པར་ཤོག	tartuk yeshe nga la chöpar shok
མཐར་ཐུག་རང་གཞན་དོན་ཡོད་ཅིང	tartuk rangzhen dön yö ching
མཐར་ཐུག་རང་གཞན་དོན་ཡོད་ཅིང་	tartuk rangzhen dön yö ching
མཐར་ཐུག་རང་དོན་ཆོས་ཀྱི་སྐུར་གྲོལ་ནས	tartuk rangdön chö kyi kur drol né
མཐར་ཐུག་རང་བཞན་གདོད་མར་བདེ་བླག་སྐྱོལ༔	tartuk rang zhen dömar delak kyol
མཐར་ཐུག་རྡུལ་བྲལ་ནམ་མཁའི་སྐུ་ཐོབ་ནས	tartuk duldral namkhé ku tob né
མཐར་ཐུག་རྡོ་རྗེའི་གསང་བ་མཆོག་ཐོབ་ཤོག༔	tartuk dorjé sangwa chok tob shok
མཐར་ཐུག་རྩ་རླུང་ཐིག་ལེ་དབུ་མར་ཐིམ	tartuk tsa lung tiklé umar tim
མཐར་ཐུག་ལྔ་ལྡན་ཁྱུང་པོ་རྣལ་འབྱོར་གྱི	tartuk ngaden khyungpo naljor gyi
མཐར་ཐུག་སྐུ་ལྔའི་ཞིང་ལ་སྤྱོད་པར་ཤོག	tartuk ku ngé zhing la chöpar shok
མཐར་ཐུག་སྲིད་ཞིའི་མཐའ་ལས་འདས་པའི་ཀུན་མཁྱེན་ཡེ་ཤེས་ཐོབ་བྱིན་རློབས	tartuk sizhi ta lé depé künkhyen yeshe tob jin lob
མཐར་ནི་དགྱེས་པ་ཆེན་པོ་ཡིས	tar ni gyepa chenpo yi
མཐར་ནི་བླ་མ་དགྱེས་པ་ཆེས	tar ni lama gyepa ché
མཐར་ནི་བླ་མ་འཁོར་བཅས་འོད་དུ་ཞུ	tar ni lama khor ché ö du zhu
མཐར་ནི་བླ་མ་འོད་དུ་ཞུ	tar ni lama ö du zhu
མཐར་ནི་བླ་མ་འོད་ཞུ་རང་ལ་ཐིམ	tar ni lama ö zhu rang la tim
མཐར་ནི་བླ་མ་འོད་ཟེར་སྣ་ལྔ་པའི	tar ni lama özer na ngapé
མཐར་ནི་བླ་མ་འོད་ལྔའི་ཐིག་ལེར་གྱུར	tar ni lama ö ngé tikler gyur
མཐར་ནི་བླ་མ་རང་དང་དབྱེར་མེད་འདྲེས	tar ni lama rang dang yermé dré
མཐར་ནི་བླ་མ་རང་ལ་ཐིམ	tar ni lama rang la tim
མཐར་ནི་བླ་མའི་གནས་གསུམ་ལས	tar ni lamé né sum lé
མཐར་ནི་འོད་ཞུ་རང་ལ་ཐིམ	tar ni ö zhu rang la tim
མཐར་ནི་རང་ཐིམ་དབྱེར་མེད་ངང་༔	tar ni rang tim yermé ngang
མཐར་ནི་ལྷ་དང་བླ་མ་རྣམས	tar ni lha dang lama nam
མཐར་ཕྱིན་འོད་སྐུ་རུ་གྲོལ་བར	tarchin öku ru drolwar
མཐར་ཕྱིན་ཡེ་ཤེས་བླ་མའི་ས་ནོན་ཏེ	tarchin yeshe lamé sa nön té
མཐར་ཕྱིན་ཡེ་ཤེས་སྐུ་རུ་སྨིན	tarchin yeshe ku ru min
མཐར་བྱས་འཆི་མེད་གྲུབ་པའི་ཕན་དང་བདེའི	tar jé chimé drubpé pen dang dé
མཐར་བྱེད་གཞོན་ནུ་འཇིགས་པའི་གད་རྒྱངས་ཅན	tar jé zhönnu jikpé gegyang chen
མཐར་མཆོད་བྱ་དང་མཆོད་ཡུལ་མ་ལུས་ཀུན༔	tar chöja dang chöyul malü kün
མཐར་འཛིན་ལྟ་བའི་འཛིན་སྟངས་དྲུང་ནས་ཕྱུང	tardzin tawé dzintang drung né chung
མཐར་རྗེ་བཙུན་བླ་མ་འོད་དུ་ཞུ	tar jetsün lama ö du zhu
མཐར་སོན་པད་ཅན་ཕྱག་རྒྱའི་འདུ་བ་སོགས	tar sön pechen chakgyé duwa sok
མཐིང་གསལ་ཞལ་གཅིག་ཕྱག་གཉིས་མཉམ་གཞག་ཅན	ting sal zhal chik chak nyi nyam zhakchen
མཐིང་གསལ་རྡོར་དྲིལ་ཡུམ་དང་སྦྱོར	ting sal dordril yum dang jor
མཐིང་གསལ་སྐྱིལ་ཀྲུང་མཉམ་བཞག་གསེར་རྡོར་མཚན༔	ting sal kyiltrung nyamzhak ser dor tsen
མཐིང་གསལ་སྨན་མཆོག་ལྷུང་བཟེད་བསྣམས	ting sal men chok lhungzé nam
